CLASSE;MIN;NEUTRO;MAX;PERFIL
IBOV;0,00%;0,00%;2,50%;Conservador
IDADI;50,00%;55,00%;62,50%;Conservador
IDAIPCA;10,00%;15,00%;20,00%;Conservador
IRFM;0,00%;5,00%;7,50%;Conservador
DOLAR;0,00%;5,00%;10,00%;Conservador
SELIC;12,50%;20,00%;27,50%;Conservador
IFIX;0,00%;0,00%;2,50%;Conservador
IBOV;0,00%;0,00%;0,00%;Ultraconservador
IDADI;47,50%;55,00%;62,50%;Ultraconservador
IDAIPCA;5,00%;10,00%;15,00%;Ultraconservador
IRFM;2,50%;5,00%;7,50%;Ultraconservador
DOLAR;0,00%;0,00%;0,00%;Ultraconservador
SELIC;22,50%;30,00%;37,50%;Ultraconservador
IFIX;0,00%;0,00%;0,00%;Ultraconservador
IBOV;2,00%;7,00%;12,00%;Moderado
IDADI;22,50%;30,00%;37,50%;Moderado
IDAIPCA;20,00%;25,00%;30,00%;Moderado
IRFM;7,50%;10,00%;12,50%;Moderado
DOLAR;7,50%;15,00%;20,00%;Moderado
SELIC;5,00%;10,00%;17,50%;Moderado
IFIX;0,50%;3,00%;5,50%;Moderado
IBOV;5,00%;10,00%;15,00%;Agressivo
IDADI;12,50%;20,00%;27,50%;Agressivo
IDAIPCA;20,00%;25,00%;30,00%;Agressivo
IRFM;7,50%;10,00%;12,50%;Agressivo
DOLAR;12,50%;20,00%;27,50%;Agressivo
SELIC;5,00%;5,00%;12,50%;Agressivo
IFIX;7,50%;10,00%;12,50%;Agressivo
